trades

TRADENO;TRADEDATE;TRADETIME;SECID;BOARDID;PRICE;QUANTITY;VALUE;TYPE;BUYSELL
1268518351;19.07.2011;18:44:30;PIKK;EQNL;106,7;50;5335;;B
1268518352;19.07.2011;18:44:30;SBER03;EQBR;102,33;90;9209,7;;S
1268518353;19.07.2011;18:44:30;SBER03;EQBR;102,33;100;10233;;S
1268518354;19.07.2011;18:44:30;SBER03;EQBR;102,33;1000;102330;;S
1268518355;19.07.2011;18:44:30;SBER03;EQBR;102,33;240;24559,2;;S
1268518356;19.07.2011;18:44:30;SBER03;EQBR;102,33;270;27629,1;;S
1268518357;19.07.2011;18:44:30;VSMO;EQNL;5035;90;453150;;S
1268518358;19.07.2011;18:44:30;PLZL;EQNL;1750;9;15750;;S
1268518359;19.07.2011;18:44:30;LKOH;EQBR;1827;15;27405;;S
1268518360;19.07.2011;18:44:31;SNOS;EQNL;4650;4;18600;;S
1268518361;19.07.2011;18:44:31;LNZLP;EQNE;1660,2;23;38184,6;;S
1268518362;19.07.2011;18:44:31;PIKK;EQNL;106,61;700;74627;;S
1268518363;19.07.2011;18:44:31;PIKK;EQNL;106,6;800;85280;;S
1268518364;19.07.2011;18:44:31;SNOS;EQNL;4650;5;23250;;B
1268518365;19.07.2011;18:44:31;YKEN;EQBS;0,5095;40000;20380;;B
1268518366;19.07.2011;18:44:31;YKEN;EQBS;0,5095;40000;20380;;B
1268518368;19.07.2011;18:44:31;LKOH;EQBR;1827;1;1827;;S
1268518369;19.07.2011;18:44:31;SNOS;EQNL;4650;5;23250;;B
1268518370;19.07.2011;18:44:31;VTBR;EQNL;0,08538;850000;72573;;B
1268518371;19.07.2011;18:44:31;SBERP03;EQBR;80,36;5000;401800;;S
1268518372;19.07.2011;18:44:31;SBER03;EQBR;102,38;120;12285,6;;B
1268518373;19.07.2011;18:44:31;SBER03;EQBR;102,38;4880;499614,4;;B
1268518374;19.07.2011;18:44:31;SNOS;EQNL;4650;5;23250;;B
1268518375;19.07.2011;18:44:31;SBER03;EQBR;102,33;730;74700,9;;S
1268518376;19.07.2011;18:44:31;SBER03;EQBR;102,33;2270;232289,1;;S
1268518377;19.07.2011;18:44:31;SBER03;EQBR;102,33;100;10233;;S
1268518378;19.07.2011;18:44:31;MRKH;EQBR;3,73;11000;41030;;B
1268518379;19.07.2011;18:44:32;VTBR;EQNL;0,08535;50000;4267,5;;S
1268518380;19.07.2011;18:44:32;SBER03;EQBR;102,38;120;12285,6;;B
1268518381;19.07.2011;18:44:32;SBER03;EQBR;102,38;120;12285,6;;B
1268518382;19.07.2011;18:44:32;SBER03;EQBR;102,39;5000;511950;;B
1268518383;19.07.2011;18:44:32;SBERP03;EQBR;80,36;100;8036;;S
1268518384;19.07.2011;18:44:32;SBERP03;EQBR;80,36;500;40180;;S
1268518385;19.07.2011;18:44:32;SBERP03;EQBR;80,35;4300;345505;;S
1268518386;19.07.2011;18:44:32;SNOS;EQNL;4650;5;23250;;B
1268518387;19.07.2011;18:44:32;VTBR;EQNL;0,08535;1000000;85350;;S
1268518388;19.07.2011;18:44:32;SBER03;EQBR;102,38;760;77808,8;;S
1268518389;19.07.2011;18:44:32;RTKM;EQBR;199,65;10;1996,5;;B
1268518390;19.07.2011;18:44:32;VTBR;EQNL;0,08535;450000;38407,5;;S
1268518391;19.07.2011;18:44:32;VTBR;EQNL;0,08535;50000;4267,5;;S
1268518392;19.07.2011;18:44:32;VTBR;EQNL;0,08535;100000;8535;;S
1268518393;19.07.2011;18:44:32;SBER03;EQBR;102,38;4350;445353;;B
1268518394;19.07.2011;18:44:32;SBER03;EQBR;102,39;150;15358,5;;B
1268518395;19.07.2011;18:44:32;VTBR;EQNL;0,08535;2900000;247515;;S
1268518396;19.07.2011;18:44:32;VTBR;EQNL;0,08534;100000;8534;;S
1268518397;19.07.2011;18:44:32;MTSI;EQBR;239,45;10;2394,5;;S
1268518398;19.07.2011;18:44:32;MTSI;EQBR;239,44;10;2394,4;;S
1268518399;19.07.2011;18:44:32;GAZP;EQNE;199,78;50;9989;;B
1268518400;19.07.2011;18:44:32;GAZP;EQNE;199,8;50;9990;;B
1268518401;19.07.2011;18:44:32;GAZP;EQNE;199,8;100;19980;;B
1268518402;19.07.2011;18:44:32;VTBR;EQNL;0,08538;150000;12807;;B
1268518403;19.07.2011;18:44:32;GAZP;EQNE;199,8;100;19980;;B
1268518404;19.07.2011;18:44:32;GAZP;EQNE;199,76;70;13983,2;;S
1268518405;19.07.2011;18:44:33;TGKE;EQNL;0,0117;2000000;23400;;S
1268518406;19.07.2011;18:44:33;LKOH;EQBR;1827;28;51156;;S
1268518407;19.07.2011;18:44:33;LKOH;EQBR;1827;1;1827;;S
1268518408;19.07.2011;18:44:33;LKOH;EQBR;1826,9;81;147978,9;;S
1268518409;19.07.2011;18:44:33;MTLR;EQBR;695;10;6950;;B
1268518411;19.07.2011;18:44:33;GAZP;EQNE;199,8;100;19980;;B
1268518412;19.07.2011;18:44:33;VTBR;EQNL;0,08534;4680000;399391,2;;S
1268518413;19.07.2011;18:44:33;VTBR;EQNL;0,08534;1320000;112648,8;;S
1268518414;19.07.2011;18:44:33;GAZP;EQNE;199,8;100;19980;;B
1268518415;19.07.2011;18:44:33;MSNG;EQBR;2,5345;1000;2534,5;;B
1268518416;19.07.2011;18:44:33;MSNG;EQBR;2,5349;1000;2534,9;;B
1268518417;19.07.2011;18:44:33;MSNG;EQBR;2,535;1000;2535;;B
1268518418;19.07.2011;18:44:33;MSNG;EQBR;2,5359;3000;7607,7;;B
1268518419;19.07.2011;18:44:33;MSNG;EQBR;2,5359;3000;7607,7;;B
1268518422;19.07.2011;18:44:33;LKOH;EQBR;1827,3;8;14618,4;;B
1268518423;19.07.2011;18:44:33;SBERP03;EQBR;80,35;1000;80350;;S
1268518424;19.07.2011;18:44:34;SBER03;EQBR;102,33;12630;1292427,9;;S
1268518425;19.07.2011;18:44:34;SBER03;EQBR;102,33;100;10233;;S
1268518426;19.07.2011;18:44:34;SBER03;EQBR;102,33;1000;102330;;S
